Text,oh_label
you are so stupid and useless,1
nobody likes you at all,1
you are such a loser,1
everyone thinks you are annoying,1
you are embarrassing yourself again,1
you are the worst person here,1
stop acting dumb all the time,1
you are pathetic and weak,1
no one wants you here,1
you always mess everything up,1
you are completely worthless,1
why are you so bad at everything,1
you are a total failure,1
everyone laughs at you behind your back,1
you are so annoying and irritating,1
you are not smart enough for this,1
people avoid you for a reason,1
you are useless in this team,1
you never do anything right,1
you are such a joke,1
nobody takes you seriously,1
you are so lazy and careless,1
you ruin everything you touch,1
you are completely hopeless,1
you are not good at anything,1
everyone is tired of you,1
you are so immature,1
you are a big disappointment,1
you always act like an idiot,1
you are nothing special,1
have a great day,0
you did an amazing job,0
keep up the good work,0
that was a very smart answer,0
i appreciate your help,0
thank you for your support,0
you handled that well,0
nice effort on the project,0
you are improving every day,0
that was a thoughtful comment,0
well done on your presentation,0
i respect your opinion,0
great teamwork everyone,0
you explained it clearly,0
thanks for being kind,0
you are doing fine,0
that is a good suggestion,0
i enjoyed working with you,0
keep learning and growing,0
you are very helpful,0
good luck with your exam,0
that was impressive work,0
you solved it perfectly,0
happy to see your progress,0
nice creativity in your idea,0
you are very responsible,0
excellent performance today,0
you did your best,0
that was really helpful,0
wishing you success,0
